['/0 Subnet', 'Networking']
['Lifecycle Policies', 'EC2 Instance Storage']
['Max I/O Performance Mode', 'EC2 Instance Storage']
['Network Drive', 'EC2 Instance Storage']
['POSIX System', 'EC2 Instance Storage']
['Provisioned IOPS', 'EC2 Instance Storage']
['Provisioned Throughput Mode', 'EC2 Instance Storage']
['Public AMI', 'EC2 Instance Storage']
['Recycle Bin for EBS Snapshots', 'EC2 Instance Storage']
['Root EBS Volume', 'EC2 Instance Storage']
['Scratch Data', 'EC2 Instance Storage']
['Snapshot', 'EC2 Instance Storage']
['Storage Tiers', 'EC2 Instance Storage']
['Throughput', 'EC2 Instance Storage']
['gp2', 'EC2 Instance Storage']
['gp3', 'EC2 Instance Storage']
['io1', 'EC2 Instance Storage']
['io2 Block Express', 'EC2 Instance Storage']
['sc1', 'EC2 Instance Storage']
['st1', 'EC2 Instance Storage']
['Policy', 'IAM']
['IAM Access Advisor (IAM)', 'IAM']
['IAM Credentials Report (IAM)', 'IAM']
['API Call', 'IAM']
['AWS CLI', 'IAM']
['AWS GovCloud', 'IAM']
['AWS SDK for Python (Boto)', 'IAM']
['Access Keys', 'IAM']
['Action', 'IAM']
['CLI (Command Line Interface)', 'IAM']
['Cloud Shell', 'IAM']
['CloudFormation Roles', 'IAM']
['Condition', 'IAM']
['Download/Upload Files', 'IAM']
['Effect', 'IAM']
['Group', 'IAM']
['Hardware Key Fob MFA Device', 'IAM']
['IAM Role', 'IAM']
['Inline Policy', 'IAM']
['Lambda Function Roles', 'IAM']
['Least Privilege Principle', 'IAM']
['MFA Device', 'IAM']
['Management Console', 'IAM']
['Multi-Factor Authentication (MFA)', 'IAM']
['Password Policy', 'IAM']
['Permissions', 'IAM']
['Principle', 'IAM']
['Public APIs', 'IAM']
['Region', 'IAM']
['Repository', 'IAM']
['Resource', 'IAM']
['Root Account', 'IAM']
['SDK (Software Development Kit)', 'IAM']
['Statement', 'IAM']
['Statement ID (Sid)', 'IAM']
['Universal 2nd Factor (U2F) Security Key', 'IAM']
['User', 'IAM']
['Version Number', 'IAM']
['Virtual MFA Device', 'IAM']
['API Gateway', 'Serverless']
['AWS Backup Service', 'Serverless']
['AWS Lambda', 'Serverless']
['Amazon CloudFront', 'Serverless']
['Amazon Cognito', 'Serverless']
['Attributes', 'Serverless']
['Auto-scaling Capabilities', 'Serverless']
['Cognito Identity Pools', 'Serverless']
['Cognito User Pools', 'Serverless']
['DynamoDB', 'Serverless']
['DynamoDB Stream Kinesis Adapter', 'Serverless']
['DynamoDB Streams', 'Serverless']
['Export to S3', 'Serverless']
['Federated Identity', 'Serverless']
['Fully Managed Database', 'Serverless']
['Function as a Service (FaaS)', 'Serverless']
['Global Tables', 'Serverless']
['Highly Available', 'Serverless']
['Import from S3', 'Serverless']
['Items', 'Serverless']
['Lambda Snapstart', 'Serverless']
['Lambda Triggers', 'Serverless']
['Lambda limits', 'Serverless']
['NoSQL Database', 'Serverless']
['On-Demand Backups', 'Serverless']
['On-Demand Mode', 'Serverless']
['OpenID Connect', 'Serverless']
['Primary Key', 'Serverless']
['Provision Mode', 'Serverless']
['REST API', 'Serverless']
['Read Capacity Units (RCU)', 'Serverless']
['Request Throttling', 'Serverless']
['SAML', 'Serverless']
['Scalar Types', 'Serverless']
['Serverless', 'Serverless']
['Social Identity Provider', 'Serverless']
['Sort Key', 'Serverless']
['Static Content', 'Serverless']
['Step Functions', 'Serverless']
['Swagger', 'Serverless']
['Time To Live (TTL)', 'Serverless']
['Transaction Support', 'Serverless']
['WebSocket Protocol', 'Serverless']
['Write Capacity Units (WCU)', 'Serverless']
['API for Account Creation', 'Account Management']
['AWS Organizations', 'Account Management']
['Aggregated Usage', 'Account Management']
['Consolidated Billing', 'Account Management']
['Cross-Account Roles', 'Account Management']
['Management Account', 'Account Management']
['Member Account', 'Account Management']
['Organizational Units (OUs)', 'Account Management']
['Root OU', 'Account Management']
['Savings Plans', 'Account Management']
['Service Control Policies (SCPs)', 'Account Management']
['AWS Amplify', 'Services']
['AWS Batch', 'Services']
['AWS Cost Anomaly Detection', 'Services']
['AWS Cost Explorer', 'Services']
['Amazon AppFlow', 'Services']
['Amazon Pinpoint', 'Services']
['Amazon SES', 'Services']
['CloudFormation', 'Services']
['AWS Config', 'Monitoring and Auditing']
['AWS Lambda Layer', 'Monitoring and Auditing']
['AWS Managed Config Rules', 'Monitoring and Auditing']
['AWS SDK', 'Monitoring and Auditing']
['Alarm States', 'Monitoring and Auditing']
['Amazon EventBridge', 'Monitoring and Auditing']
['Athena', 'Monitoring and Auditing']
['Auto-Scaling Actions', 'Monitoring and Auditing']
['Automated Dashboard', 'Monitoring and Auditing']
['CloudTrail', 'Monitoring and Auditing']
['CloudTrail Event Retention', 'Monitoring and Auditing']
['CloudTrail Insights', 'Monitoring and Auditing']
['CloudTrail Integration', 'Monitoring and Auditing']
['CloudWatch Agent', 'Monitoring and Auditing']
['CloudWatch Alarms', 'Monitoring and Auditing']
['CloudWatch Application Insights', 'Monitoring and Auditing']
['CloudWatch Container Insights', 'Monitoring and Auditing']
['CloudWatch Contributor Insights', 'Monitoring and Auditing']
['CloudWatch Dashboard', 'Monitoring and Auditing']
['CloudWatch Events', 'Monitoring and Auditing']
['CloudWatch Logs Agent', 'Monitoring and Auditing']
['CloudWatch Logs Insights', 'Monitoring and Auditing']
['CloudWatch Logs Metric Filter', 'Monitoring and Auditing']
['CloudWatch Metrics', 'Monitoring and Auditing']
['CloudWatch Unified Agent', 'Monitoring and Auditing']
['Compliance', 'Monitoring and Auditing']
['Composite Alarms', 'Monitoring and Auditing']
['Config Rules', 'Monitoring and Auditing']
['Configuration History', 'Monitoring and Auditing']
['Configuration Items', 'Monitoring and Auditing']
['Custom Config Rules', 'Monitoring and Auditing']
['Custom Event Bus', 'Monitoring and Auditing']
['Data Events', 'Monitoring and Auditing']
['Default Event Bus', 'Monitoring and Auditing']
['Dimensions', 'Monitoring and Auditing']
['EC2 Instance Actions', 'Monitoring and Auditing']
['EC2 Instance Recovery', 'Monitoring and Auditing']
['Event Archive', 'Monitoring and Auditing']
['Event Patterns', 'Monitoring and Auditing']
['EventBridge', 'Monitoring and Auditing']
['EventBridge Destinations', 'Monitoring and Auditing']
['EventBridge Notifications', 'Monitoring and Auditing']
['EventBridge Rules', 'Monitoring and Auditing']
['IAM Users and Roles', 'Monitoring and Auditing']
['Log Expiration Policy', 'Monitoring and Auditing']
['Log Groups', 'Monitoring and Auditing']
['Log Streams', 'Monitoring and Auditing']
['Management Events', 'Monitoring and Auditing']
['Namespace', 'Monitoring and Auditing']
['Non-compliant Resources', 'Monitoring and Auditing']
['Partner Event Bus', 'Monitoring and Auditing']
['Period', 'Monitoring and Auditing']
['Read Events', 'Monitoring and Auditing']
['Resource-Based Policies', 'Monitoring and Auditing']
['S3 Buckets', 'Monitoring and Auditing']
['SNS Notifications', 'Monitoring and Auditing']
['SSM Automation Documents', 'Monitoring and Auditing']
['Schema Registry', 'Monitoring and Auditing']
['Status Check', 'Monitoring and Auditing']
['Subscription Filter', 'Monitoring and Auditing']
['System Status Check', 'Monitoring and Auditing']
['Timestamp', 'Monitoring and Auditing']
['Write Events', 'Monitoring and Auditing']
['AWS Application Discovery Service', 'Disaster Recovery']
['AWS Application Migration Service', 'Disaster Recovery']
['AWS Backup', 'Disaster Recovery']
['AWS Database Migration Service (DMS)', 'Disaster Recovery']
['AWS Migration Hub', 'Disaster Recovery']
['AWS SCT (Schema Conversion Tool)', 'Disaster Recovery']
['AWS Server Migration Service (SMS)', 'Disaster Recovery']
['Backup and Restore', 'Disaster Recovery']
['CDC (Change Data Capture)', 'Disaster Recovery']
['Continuous Replication', 'Disaster Recovery']
['DMS (Database Migration Service)', 'Disaster Recovery']
['Dependency Mappings', 'Disaster Recovery']
['Disaster', 'Disaster Recovery']
['Full Cloud Recovery', 'Disaster Recovery']
['Heterogeneous Migration', 'Disaster Recovery']
['Homogeneous Migration', 'Disaster Recovery']
['Hot Site / Multi-Site', 'Disaster Recovery']
['Hybrid Recovery', 'Disaster Recovery']
['ISO Image', 'Disaster Recovery']
['Incremental Replication', 'Disaster Recovery']
['KVM', 'Disaster Recovery']
['Microsoft Hyper-V', 'Disaster Recovery']
['Multi AZ Deployment', 'Disaster Recovery']
['On-Premise Strategy with Cloud', 'Disaster Recovery']
['On-premise to On-premise', 'Disaster Recovery']
['On-premises Database', 'Disaster Recovery']
['Pilot Light', 'Disaster Recovery']
['RPO (Recovery Point Objective)', 'Disaster Recovery']
['RTO (Recovery Time Objective)', 'Disaster Recovery']
['Resilient and Self-Healing', 'Disaster Recovery']
['Server Utilization Information', 'Disaster Recovery']
['Source Database', 'Disaster Recovery']
['Target Database', 'Disaster Recovery']
['VM Import and Export', 'Disaster Recovery']
['VMWare', 'Disaster Recovery']
['Virtual Box', 'Disaster Recovery']
['Warm Standby', 'Disaster Recovery']
['AWS App Runner', 'Containers on AWS']
['AWS Fargate', 'Containers on AWS']
['Amazon ECR', 'Containers on AWS']
['Amazon ECS', 'Containers on AWS']
['Amazon EKS', 'Containers on AWS']
['Containers', 'Containers on AWS']
['Data Persistence on Amazon ECS', 'Containers on AWS']
['Data Volume', 'Containers on AWS']
['Docker', 'Containers on AWS']
['Docker Daemon', 'Containers on AWS']
['Docker Hub', 'Containers on AWS']
['Docker Image', 'Containers on AWS']
['Docker Repository', 'Containers on AWS']
['Dockerfile', 'Containers on AWS']
['EC2 Instance Profile', 'Containers on AWS']
['EC2 Launch Type', 'Containers on AWS']
['ECS Agent', 'Containers on AWS']
['ECS Cluster', 'Containers on AWS']
['ECS Service', 'Containers on AWS']
['ECS Service Auto Scaling', 'Containers on AWS']
['ECS Task', 'Containers on AWS']
['ECS Task Role', 'Containers on AWS']
['ECS Task State Change', 'Containers on AWS']
['ECS Tasks Invoked by EventBridge', 'Containers on AWS']
['EventBridge Schedule', 'Containers on AWS']
['Fargate Launch Type', 'Containers on AWS']
['IAM Roles for ECS Tasks', 'Containers on AWS']
['Load Balancer Integrations', 'Containers on AWS']
['Microservice Architecture', 'Containers on AWS']
['Serverless Architecture', 'Containers on AWS']
['Virtual Machine', 'Containers on AWS']
['One-Time Setup', 'Snow Family']
['Ongoing Replication', 'Snow Family']
['Snowball Parallel Ordering', 'Snow Family']
['AWS DataSync', 'Snow Family']
['AWS OpsHub', 'Snow Family']
['AWS Snow Family', 'Snow Family']
['AWS Storage Gateway', 'Snow Family']
['AWS Transfer Family', 'Snow Family']
['Amazon EFS', 'Snow Family']
['Amazon FSx', 'Snow Family']
['Data Migration', 'Snow Family']
['DataSync Agent', 'Snow Family']
['EBS (Elastic Block Store)', 'Snow Family']
['EC2 Instance Storage', 'Snow Family']
['Edge Computing', 'Snow Family']
['FSx File Gateway', 'Snow Family']
['FTPS (File Transfer Protocol over SSL)', 'Snow Family']
['HDFS (Hadoop Distributed File System)', 'Snow Family']
['Hybrid Cloud', 'Snow Family']
['Lustre', 'Snow Family']
['Metadata Preservation', 'Snow Family']
['NFS (Network File System)', 'Snow Family']
['NetApp ONTAP', 'Snow Family']
['OpenZFS', 'Snow Family']
['Persistent File System', 'Snow Family']
['S3 File Gateway', 'Snow Family']
['S3 Glacier', 'Snow Family']
['SMB (Server Message Block)', 'Snow Family']
['Scratch File System', 'Snow Family']
['Snowball', 'Snow Family']
['Snowball Edge', 'Snow Family']
['Snowcone', 'Snow Family']
['Snowmobile', 'Snow Family']
['Storage Gateway', 'Snow Family']
['Storage Gateway Hardware Appliance', 'Snow Family']
['Tape Gateway', 'Snow Family']
['Volume Gateway', 'Snow Family']
['Windows File Server', 'Snow Family']
['AWS Lambda Destinations', 'Decoupling Applications']
['Amazon MQ', 'Decoupling Applications']
['Amazon SQS FIFO Queues', 'Decoupling Applications']
['ApproximateNumberOfMessages', 'Decoupling Applications']
['Asynchronous Communication', 'Decoupling Applications']
['Buffer Interval', 'Decoupling Applications']
['Buffer Size', 'Decoupling Applications']
['Consumer', 'Decoupling Applications']
['Content-based Deduplication', 'Decoupling Applications']
['Custom HTTP Endpoint', 'Decoupling Applications']
['Data Blob', 'Decoupling Applications']
['Deduplication ID', 'Decoupling Applications']
['DeleteMessage API', 'Decoupling Applications']
['Event Producer', 'Decoupling Applications']
['Event Receiver / Subscriber', 'Decoupling Applications']
['FIFO Queue', 'Decoupling Applications']
['Fan-Out Pattern', 'Decoupling Applications']
['Kinesis', 'Decoupling Applications']
['Kinesis Data Analytics', 'Decoupling Applications']
['Kinesis Data Firehose', 'Decoupling Applications']
['Kinesis Data Streams', 'Decoupling Applications']
['Long polling', 'Decoupling Applications']
['Message Filtering', 'Decoupling Applications']
['Message Group ID', 'Decoupling Applications']
['Message Ordering', 'Decoupling Applications']
['Message Visibility Timeout', 'Decoupling Applications']
['Middleware', 'Decoupling Applications']
['OLTP (Online Transaction Processing)', 'Decoupling Applications']
['Partition Key', 'Decoupling Applications']
['Producer', 'Decoupling Applications']
['Producers', 'Decoupling Applications']
['Pub/Sub Model', 'Decoupling Applications']
['Publish-Subscribe (Pub/Sub)', 'Decoupling Applications']
['Queue', 'Decoupling Applications']
['Queue Length / Approximate Number of Messages', 'Decoupling Applications']
['SNS (Simple Notification Service)', 'Decoupling Applications']
['SQS (Simple Queue Service)', 'Decoupling Applications']
['SQS Access Policies', 'Decoupling Applications']
['SQS Standard Queue', 'Decoupling Applications']
['Scaling Action', 'Decoupling Applications']
['SendMessage API', 'Decoupling Applications']
['Shards', 'Decoupling Applications']
['Synchronous Communication', 'Decoupling Applications']
['Third-Party Destinations', 'Decoupling Applications']
['Throughput Constraints', 'Decoupling Applications']
['AWS Encryption SDK', 'Encryption']
['AWS KMS (Key Management Service)', 'Encryption']
['AWS Managed Keys', 'Encryption']
['AWS Owned Keys', 'Encryption']
['AWS Shield', 'Encryption']
['AWS WAF', 'Encryption']
['Advanced Parameter Tier', 'Encryption']
['Amazon DynamoDB Encryption Client', 'Encryption']
['Amazon Guard Duty', 'Encryption']
['Amazon Inspector', 'Encryption']
['Amazon Macie', 'Encryption']
['Application Layer Defense', 'Encryption']
['Asymmetric Keys', 'Encryption']
['Automatic Key Rotation', 'Encryption']
['Automatic Renewal', 'Encryption']
['Configuration Storage', 'Encryption']
['Customer Managed Keys', 'Encryption']
['DDoS attack', 'Encryption']
['Data Key', 'Encryption']
['Edge Location Mitigation', 'Encryption']
['Encryption in Flight', 'Encryption']
['Firewall Manager', 'Encryption']
['Infrastructure Layer Defense', 'Encryption']
['KMS Encryption', 'Encryption']
['KMS Multi-Region Keys', 'Encryption']
['Key ID', 'Encryption']
['Key Material', 'Encryption']
['Key Policies', 'Encryption']
['Man-in-the-Middle Attacks', 'Encryption']
['Network ACLs', 'Encryption']
['Parameter Hierarchy', 'Encryption']
['Parameter Policies', 'Encryption']
['Private Certificates', 'Encryption']
['Public Certificates', 'Encryption']
['Public Parameters', 'Encryption']
['Replica Key', 'Encryption']
['SSM Parameter Store', 'Encryption']
['SYN Floods', 'Encryption']
['Secrets Storage', 'Encryption']
['Server-Side Encryption at Rest', 'Encryption']
['Shield', 'Encryption']
['Shield Advanced', 'Encryption']
['Standard Parameter Tier', 'Encryption']
['Symmetric Keys', 'Encryption']
['TLS Certificates', 'Encryption']
['UDP Reflection', 'Encryption']
['Version Tracking', 'Encryption']
['WAF Rate-based Rules', 'Encryption']
['AWS Global Accelerator', 'CloudFront']
['Anycast IP', 'CloudFront']
['CloudFront', 'CloudFront']
['Cloudfront Geo Restriction', 'CloudFront']
['Content Delivery Network (CDN)', 'CloudFront']
['DDoS Protection', 'CloudFront']
['Edge Locations', 'CloudFront']
['Origin Access Control (OAC)', 'CloudFront']
['Price Classes', 'CloudFront']
['Unicast IP', 'CloudFront']
['Amazon MSK for Apache Kafka', 'Data Analytics']
['AWS Glue', 'Data Analytics']
['AWS Lake Formation', 'Data Analytics']
['Amazon ElasticSearch', 'Data Analytics']
['Amazon OpenSearch Service', 'Data Analytics']
['Amazon QuickSight', 'Data Analytics']
['Apache Parquet', 'Data Analytics']
['At-rest Encryption', 'Data Analytics']
['Blueprints', 'Data Analytics']
['Business Intelligence Service', 'Data Analytics']
['CloudWatch Log Subscription Filter', 'Data Analytics']
['Column-Level Security (CLS)', 'Data Analytics']
['Columnar Data Types', 'Data Analytics']
['Columnar Storage', 'Data Analytics']
['Compression Mechanisms', 'Data Analytics']
['Compute Nodes', 'Data Analytics']
['Data Lake', 'Data Analytics']
['Data Partitioning', 'Data Analytics']
['Data Source Connector', 'Data Analytics']
['DynamoDB Stream', 'Data Analytics']
['EMR', 'Data Analytics']
['ETL Service', 'Data Analytics']
['Enhanced VPC Routing', 'Data Analytics']
['Federated Query', 'Data Analytics']
['Fine-Grained Access Control', 'Data Analytics']
['Glue Data Catalog', 'Data Analytics']
['Glue Data Crawlers', 'Data Analytics']
['Glue DataBrew', 'Data Analytics']
['Glue Elastic Views', 'Data Analytics']
['Glue Job Bookmarks', 'Data Analytics']
['Glue Streaming ETL', 'Data Analytics']
['Glue Studio', 'Data Analytics']
['In-flight Encryption', 'Data Analytics']
['Ingestion Bucket', 'Data Analytics']
