['Setting Up Virtual Private Gateway for Direct Connect', 'Networking']
['Statelessness in NACLs', 'Networking']
['Identifying Problematic IPs and Ports from Flow Logs', 'Networking']
['VPC Traffic Mirroring Use Case', 'Networking']
['Bastion Host Use Case', 'Networking']
['Accessing AWS Services Privately Using VPC Endpoints', 'Networking']
['Networking Costs in AWS', 'Networking']
['Cost and Scalability Considerations for VPC Endpoints', 'Networking']
['Components of CIDR: Base IP and Subnet Mask', 'Networking']
['High Availability vs Cost Optimization', 'Networking']
['Connecting Multiple VPCs Through Transit Gateway', 'Networking']
['Priority and Precedence of NACL Rules', 'Networking']
['IPv6 for VPC', 'Networking']
['Automatic Return Traffic in Stateful Security Groups', 'Networking']
['Using CIDR for Efficient IP Allocation in Networks', 'Networking']
['Impact of NACL Rules on Network Traffic', 'Networking']
['Internet Gateway and Its Role in Providing Internet Access', 'Networking']
['Simplifying Network Topologies with Transit Gateway', 'Networking']
['Using CIDR for Security Group Rules and Networking in AWS', 'Networking']
['Internet Connectivity in the Default VPC', 'Networking']
['Implicit and Explicit Association of Route Tables with Subnets', 'Networking']
['IPv4 CIDR Block and its Significance', 'Networking']
['Differences Between Public and Private IP Addresses in AWS', 'Networking']
['Direct Connect Cost Considerations', 'Networking']
['Analyzing Flow Log Data with Athena and CloudWatch Logs Insights', 'Networking']
['VPC Peering Use Case', 'Networking']
['Impact of Subnet Mask on the Number of Available IP Addresses', 'Networking']
['Private vs. Public Subnet', 'Networking']
['Role of NAT Gateway and Internet Gateway in Network Traffic', 'Networking']
['Role of IANA in Defining Private and Public IP Address Ranges', 'Networking']
['Importance of Ephemeral Ports in Network Communication', 'Networking']
['NAT Gateway vs VPC Endpoint', 'Networking']
['Sending Flow Logs to Different AWS Services', 'Networking']
['Connecting On-Premises Data Centers to AWS Using Direct Connect', 'Networking']
['ENI as an Entry Point for Private AWS Services', 'Networking']
['Inter-Region Traffic', 'Networking']
['Traffic Types and Costs', 'Networking']
['Instance-Level Security with Security Groups', 'Networking']
['Statefulness in Security Groups', 'Networking']
['Understanding Route Tables and Their Role in Traffic Routing', 'Networking']
['Optimizing Costs with Private IPs', 'Networking']
['Subnet-Level Security with NACLs', 'Networking']
['S3 Data Transfer Pricing', 'Networking']
['Using AWS PrivateLink for Secure Network Connections', 'Networking']
['Difference Between Security Groups and NACLs', 'Networking']
['Capturing Information from IP Traffic Using VPC Flow Logs', 'Networking']
['Applications of Different Private IP Ranges', 'Networking']
['Subnet Allocation and Availability Zones', 'Networking']
['Connection Termination by Load Balancer', 'High Availability and Scalability']
['In-flight Request Handling', 'High Availability and Scalability']
['Implications of Load Balancers on High Availability', 'High Availability and Scalability']
['SNI for Multiple Domains', 'High Availability and Scalability']
['Distributed Systems', 'High Availability and Scalability']
['Use of Route Tables in Load Balancing', 'High Availability and Scalability']
['Redirecting Traffic from HTTP to HTTPS', 'High Availability and Scalability']
['Dynamic Scaling', 'High Availability and Scalability']
['Connection Draining in Classic Load Balancer vs. Application/Network Load Balancer', 'High Availability and Scalability']
['Layer 4 vs Layer 7 Load Balancing', 'High Availability and Scalability']
['Routing Traffic to Multiple Applications', 'High Availability and Scalability']
['Integrating NLB with EC2 Instances', 'High Availability and Scalability']
['Traffic Inspection and Management', 'High Availability and Scalability']
['Routing Based on URL Path and Hostname', 'High Availability and Scalability']
['Using NLB with Private IPs', 'High Availability and Scalability']
['SSL Termination at Load Balancer', 'High Availability and Scalability']
['Transparent Network Gateway Functionality', 'High Availability and Scalability']
['Connecting ALB with On-premises Servers', 'High Availability and Scalability']
['Setting Connection Draining Parameters', 'High Availability and Scalability']
['ACM Certificate Management', 'High Availability and Scalability']
['Layer 7 Load Balancer', 'High Availability and Scalability']
['Using Query Strings for Routing', 'High Availability and Scalability']
['Load Balancing Traffic Distribution', 'High Availability and Scalability']
['Elastic Load Balancer Features', 'High Availability and Scalability']
['Integration with Third-party Appliances', 'High Availability and Scalability']
['Operation at Network Layer', 'High Availability and Scalability']
['Static IP Assignment in Load Balancing', 'High Availability and Scalability']
['Load Distribution Across AZs', 'High Availability and Scalability']
['Vertical vs. Horizontal Scalability', 'High Availability and Scalability']
['Impact on Traffic Imbalance', 'High Availability and Scalability']
['Purpose of Sticky Sessions', 'High Availability and Scalability']
['High Availability and Its Importance', 'High Availability and Scalability']
['Health Check Protocols for NLB', 'High Availability and Scalability']
['Impact of Stickiness on Load Distribution', 'High Availability and Scalability']
['Connection Draining vs. Deregistration Delay', 'High Availability and Scalability']
['Default Settings for Cross Zone Load Balancing', 'High Availability and Scalability']
['Load Balancing Across Virtual Appliances', 'High Availability and Scalability']
['ALB and NLB Support for SNI', 'High Availability and Scalability']
['SSL vs. TLS', 'High Availability and Scalability']
['How Sticky Sessions Work', 'High Availability and Scalability']
['ALB Target Group Routing', 'High Availability and Scalability']
['Automated Scaling', 'High Availability and Scalability']
['Implications of Scaling', 'High Availability and Scalability']
['Integration with Load Balancers', 'High Availability and Scalability']
['Instance Lifecycle', 'High Availability and Scalability']
['Importance of Health Checks', 'High Availability and Scalability']
['Application-based vs. Duration-based Cookies', 'High Availability and Scalability']
['High Performance Load Balancing', 'High Availability and Scalability']
['Certificate Expiration and Renewal', 'High Availability and Scalability']
['Inter AZ Data Charges for NLB and GWLB', 'High Availability and Scalability']
['Types of Managed Load Balancers', 'High Availability and Scalability']
['Security Integration with Load Balancers', 'High Availability and Scalability']
['Combining NLB with ALB', 'High Availability and Scalability']
['SNI Protocol', 'High Availability and Scalability']
['Fixed Host Name for ALB', 'High Availability and Scalability']
['Implementing Stickiness for Load Balancers', 'High Availability and Scalability']
['Using ALB with Containers and ECS', 'High Availability and Scalability']
['Multiple SSL Certificates Handling', 'High Availability and Scalability']
['Impact of Connection Draining Duration on Request Handling', 'High Availability and Scalability']
['Security Policy Configuration', 'High Availability and Scalability']
['Health Management', 'High Availability and Scalability']
['Integrating ALB with Lambda Functions', 'High Availability and Scalability']
['Converting Single AZ to Multi AZ', 'AWS Fundamentals']
['Non-Public Accessibility of RDS Proxy', 'AWS Fundamentals']
['Automated Backups and Retention', 'AWS Fundamentals']
['Automated Database Instantiation with Aurora Serverless', 'AWS Fundamentals']
['Manual DB Snapshots for Long-Term Storage', 'AWS Fundamentals']
['Importance of Database Snapshots in RDS Custom', 'AWS Fundamentals']
['Restoring from Automated Backup or Manual Snapshot', 'AWS Fundamentals']
['Aurora Performance Improvements', 'AWS Fundamentals']
['Aurora vs. RDS Read Replicas', 'AWS Fundamentals']
['Failover Mechanism in Multi AZ', 'AWS Fundamentals']
['Integration with AWS Secrets Manager', 'AWS Fundamentals']
['Memcached and SASL-Based Authentication', 'AWS Fundamentals']
['Read Replica Multi AZ Setup', 'AWS Fundamentals']
['Managed Database Service Benefits', 'AWS Fundamentals']
['Differences between RDS and RDS Custom', 'AWS Fundamentals']
['Caching Invalidation', 'AWS Fundamentals']
['Automated Provisioning', 'AWS Fundamentals']
['How RDS Proxy Improves Efficiency', 'AWS Fundamentals']
['IAM Authentication for Redis', 'AWS Fundamentals']
['Cost-Saving Trick Using Snapshots', 'AWS Fundamentals']
['Memcached Features: Multi-Node, Sharding, No High Availability', 'AWS Fundamentals']
['Aurora Machine Learning Integration', 'AWS Fundamentals']
['Use Cases for Aurora Machine Learning', 'AWS Fundamentals']
['Cross Region Replication in Aurora', 'AWS Fundamentals']
['Redis AUTH and Security Groups', 'AWS Fundamentals']
['IAM Roles for Database Authentication', 'AWS Fundamentals']
['Cloning Aurora Databases', 'AWS Fundamentals']
['Promoting Read Replicas to Independent Databases', 'AWS Fundamentals']
['ElastiCache Data Loading Patterns: Lazy Loading, Write Through, Session Store', 'AWS Fundamentals']
['Defining Custom Endpoints for Workload Optimization', 'AWS Fundamentals']
['Scaling Capabilities', 'AWS Fundamentals']
['Comparison of Redis and Memcached', 'AWS Fundamentals']
['Disaster Recovery with Multi AZ', 'AWS Fundamentals']
['Aurora Backup Similarities to RDS', 'AWS Fundamentals']
['Deactivating Automation Mode for Customization', 'AWS Fundamentals']
['Disaster Recovery with Aurora Global Database', 'AWS Fundamentals']
['High Availability Mechanisms in Aurora', 'AWS Fundamentals']
['Continuous Backups', 'AWS Fundamentals']
['Scaling Reads with Read Replicas', 'AWS Fundamentals']
['Lambda Functions and RDS Proxy', 'AWS Fundamentals']
['Networking Costs for Read Replicas', 'AWS Fundamentals']
['DNS Name and Failover', 'AWS Fundamentals']
['Storing Audit Logs in CloudWatch', 'AWS Fundamentals']
['RDS Proxy and Failover', 'AWS Fundamentals']
['Controlling Network Access with Security Groups', 'AWS Fundamentals']
['Managing and Scaling Databases in RDS Custom', 'AWS Fundamentals']
['IAM Authentication and RDS Proxy', 'AWS Fundamentals']
['Replica Auto Scaling for High Read Traffic', 'AWS Fundamentals']
['Access to OS and Customization in RDS Custom', 'AWS Fundamentals']
['Purpose of ElastiCache', 'AWS Fundamentals']
['Aurora Storage Auto Expansion', 'AWS Fundamentals']
['Redis Features: Multi AZ, Auto-Failover, Read Replicas, Data Durability', 'AWS Fundamentals']
['Purpose of RDS Proxy', 'AWS Fundamentals']
['Replication Process in Aurora', 'AWS Fundamentals']
['No SSH Access for RDS and Aurora', 'AWS Fundamentals']
['Cross Region Replication in Global Aurora', 'AWS Fundamentals']
['ElastiCache and Application Code Changes', 'AWS Fundamentals']
['Benefits of Using Caches', 'AWS Fundamentals']
['Process of Encrypting an Unencrypted EBS Volume', 'EC2 Instance Storage']
['Advantages of EC2 Instance Store for Performance', 'EC2 Instance Storage']
['Capacity Provisioning and Billing', 'EC2 Instance Storage']
['Use Cases for EFS', 'EC2 Instance Storage']
['Differences Between Public, Custom, and Marketplace AMIs', 'EC2 Instance Storage']
['Encryption at Rest Using KMS', 'EC2 Instance Storage']
['Regional Availability and Copying of AMIs', 'EC2 Instance Storage']
['EFS as a Shared Network File System Across Multiple Instances and AZs', 'EC2 Instance Storage']
['EBS Volume Use Cases: Boot Volumes, High Throughput, Low Cost', 'EC2 Instance Storage']
['Latency and Network Communication', 'EC2 Instance Storage']
['Automatic Handling of Encryption by EC2 and EBS', 'EC2 Instance Storage']
['Minimal Impact on Latency from Encryption', 'EC2 Instance Storage']
['IO Increase with Disk Size in gp2 and Independent IO in gp3 and io1', 'EC2 Instance Storage']
['Expanding to Multiple Regions: Imagine you have an EC2 instance configured in one region and need to replicate this configuration in another region. How would you use AMIs to accomplish this?', 'EC2 Instance Storage']
['Default Termination Behavior of Root EBS Volumes', 'EC2 Instance Storage']
['EBS Volume Attachment and Detachment', 'EC2 Instance Storage']
['EFS as a Managed NFS for EC2 Instances', 'EC2 Instance Storage']
['General Purpose SSD Volumes: gp2 vs. gp3', 'EC2 Instance Storage']
['Transferring Data Between Availability Zones: Suppose you need to move an EBS volume from one availability zone to another. How would you use EBS snapshots to accomplish this task?', 'EC2 Instance Storage']
['Compatibility with Linux-Based AMIs', 'EC2 Instance Storage']
['HDD Volumes: st1 vs. sc1', 'EC2 Instance Storage']
['Benefits of Using Custom AMIs', 'EC2 Instance Storage']
['Cost and Pay-per-Use Model of EFS', 'EC2 Instance Storage']
['Purpose of EBS Snapshots', 'EC2 Instance Storage']
['Functionality of Recycle Bin for EBS Snapshots', 'EC2 Instance Storage']
['Advantages of Using Nitro with io1/io2 for High IOPS', 'EC2 Instance Storage']
['Creating Encrypted Volumes from Snapshots', 'EC2 Instance Storage']
['Fast Snapshot Restore and Its Costs', 'EC2 Instance Storage']
['EC2 Instance Store vs. Network Drive', 'EC2 Instance Storage']
['Benefits and Trade-offs of EBS Snapshot Archive', 'EC2 Instance Storage']
['AMI Creation Process and EBS Snapshot Integration', 'EC2 Instance Storage']
['Comparison of IOPS Between Instance Store and EBS', 'EC2 Instance Storage']
['Volatility of Instance Store with EC2 Instance Termination', 'EC2 Instance Storage']
['Customizing EC2 Instances with AMIs', 'EC2 Instance Storage']
['Migrating EBS Volumes Across AZs Using Snapshots', 'EC2 Instance Storage']
['Data Volatility in EC2 Instance Store', 'EC2 Instance Storage']
['Performance and Storage Classes of EFS', 'EC2 Instance Storage']
['Provisioned IOPS SSD Volumes: io1 vs. io2 Block Express', 'EC2 Instance Storage']
['Transferring EBS Volumes Across AZs and Regions', 'EC2 Instance Storage']
['Factors Defining EBS Volumes: Size, Throughput, and IOPS', 'EC2 Instance Storage']
['Differences Between General Purpose and Provisioned IOPS Volumes', 'EC2 Instance Storage']
['Impact of EBS Volume Backups on Performance', 'EC2 Instance Storage']
['Creating a Custom AMI for Faster Boot Times: Suppose you frequently need to launch EC2 instances with specific software pre-installed. How would you use custom AMIs to achieve faster boot and configuration times for your instances?', 'EC2 Instance Storage']
['Use Cases for EC2 Instance Store', 'EC2 Instance Storage']
['EBS Volume Persistence', 'EC2 Instance Storage']
['AZ Boundaries for EBS Volumes', 'EC2 Instance Storage']
['EFS Compatibility with Linux and Use of POSIX System', 'EC2 Instance Storage']
['Managing Long-term Storage Costs', 'EC2 Instance Storage']
['Benefits of EBS Volume Encryption', 'EC2 Instance Storage']
['Snapshot Usage for Cross-AZ Movement', 'EC2 Instance Storage']
['Cost and Storage Tier Options for EFS', 'EC2 Instance Storage']
['High Availability and Scalability of EFS', 'EC2 Instance Storage']
['Attachment and Availability Zone Restrictions for EBS Volumes', 'EC2 Instance Storage']
['Lifecycle Management and Storage Tiers in EFS', 'EC2 Instance Storage']
['The role of TLS and SSL in Encryption in Flight', 'Encryption']
['Organizing Parameters Using Hierarchies', 'Encryption']
['Role of AWS Encryption SDK in Global Aurora encryption', 'Encryption']
['Provisioning and Managing TLS Certificates', 'Encryption']
['Integration of ACM with AWS Services like ALB, CloudFront, and API Gateway', 'Encryption']
['Integration of AWS KMS with IAM for authorization', 'Encryption']
['Differences Between Edge-optimized, Regional, and Private API Gateway Endpoints', 'Encryption']
['Automatic Key Rotation and its importance', 'Encryption']
['Role of TLS Certificates in In-flight Encryption', 'Encryption']
['Pricing structure for KMS keys and API calls', 'Encryption']
['Use cases for KMS Multi-Region Keys in Global Tables', 'Encryption']
['Methods for Validating Domain Ownership in ACM', 'Encryption']
['Differences between AWS Owned Keys, AWS Managed Keys, and Customer Managed Keys', 'Encryption']
['Use cases for KMS Multi-Region Keys in Global Aurora', 'Encryption']
['Preventing Man-in-the-Middle Attacks using Encryption in Flight', 'Encryption']
['S3 Replication with Encryption', 'Encryption']
['How TLS Certificates enable secure communication', 'Encryption']
['Security implications of using Multi-Region Keys', 'Encryption']
['Process and Benefits of Automatic Renewal in ACM', 'Encryption']
['Auditing API calls to KMS through CloudTrail', 'Encryption']
['Encrypting Parameters with KMS', 'Encryption']
['Storing Configuration and Secrets Securely', 'Encryption']
['Amazon Guard Duty', 'Encryption']
['Using ACM for Public and Private TLS Certificates', 'Encryption']
['Scaling EC2 Instances with Auto Scaling and Load Balancing', 'Encryption']
['Differences between Encryption in Flight, Server-Side Encryption at Rest, and Client-Side Encryption', 'Encryption']
['Server-Side Encryption processes for securely storing data', 'Encryption']
['How Data Keys are used in Server-Side and Client-Side Encryption', 'Encryption']
['Application Layer Defense with WAF and CloudFront', 'Encryption']
['Integration of SSM Parameter Store with CloudFormation', 'Encryption']
['Importance of HTTPS for secure data transmission', 'Encryption']
['Using Version Tracking for Updated Parameters', 'Encryption']
['Role of IAM Permissions in Accessing Parameters', 'Encryption']
['Types of KMS Keys: Symmetric and Asymmetric', 'Encryption']
['Firewall Manager Use Case', 'Encryption']
['Functionality of KMS Multi-Region Keys', 'Encryption']
['Blocking Malicious Requests Using WAF Rate-based Rules', 'Encryption']
['Importance of Key Material and Key ID in Multi-Region Keys', 'Encryption']
['Amazon Macie Use Case', 'Encryption']
['Advantages of Client-Side Encryption with Multi-Region Keys', 'Encryption']
['Ensuring data security with Client-Side Encryption where the server cannot decrypt data', 'Encryption']
['Using CloudFront and Global Accelerator for Edge Location Mitigation', 'Encryption']
['Protecting EC2 Instances with Infrastructure Layer Defense', 'Encryption']
['Encrypted AMI Sharing Process', 'Encryption']
['Differences between Primary and Replica Keys', 'Encryption']
['AWS WAF Use Case', 'Encryption']
['Accessing Secrets Manager through Parameter Store', 'Encryption']
['AWS Secrets Manager Use Case', 'Encryption']
['Amazon Inspector Use Case', 'Encryption']
['Unlimited Throughput in SQS', 'Decoupling Applications']
['Retention Periods for Messages', 'Decoupling Applications']
['Exactly-once Send Capability', 'Decoupling Applications']
['Decoupling Applications with Asynchronous Communication', 'Decoupling Applications']
['FIFO Queue Ordering', 'Decoupling Applications']
['Docker Container Management on AWS', 'Decoupling Applications']
['Event-Based Communication', 'Decoupling Applications']
['Application Communication Patterns', 'Decoupling Applications']
['Comparison Between SQS, SNS, and Kinesis', 'Decoupling Applications']
['Handling Long Processing Times', 'Decoupling Applications']
['Streaming Data with Kinesis', 'Decoupling Applications']
['Data Flow and Ordering in Kinesis Data Streams', 'Decoupling Applications']
['Message Flow in SQS', 'Decoupling Applications']
['Security and Encryption in Kinesis', 'Decoupling Applications']
['Using the Fan-Out Pattern', 'Decoupling Applications']
['Decoupling with SNS Topics', 'Decoupling Applications']
['Decoupling Application Tiers with SQS', 'Decoupling Applications']
['Direct Connection in Synchronous Communication', 'Decoupling Applications']
['Data Flow and Ordering in SQS FIFO Queues', 'Decoupling Applications']
['Integrating SQS with Auto Scaling Groups', 'Decoupling Applications']
['Decoupling with SQS', 'Decoupling Applications']
['Data Ingestion and Consumption', 'Decoupling Applications']
['AWS vs. Third-Party Destinations', 'Decoupling Applications']
['Implementing Message Filtering', 'Decoupling Applications']
['Processing Messages with Visibility Timeout', 'Decoupling Applications']
['Managing Shards and Capacity', 'Decoupling Applications']
['Use of Partition Key and Group ID', 'Decoupling Applications']
['Publishing Messages to SNS', 'Decoupling Applications']
['Handling Sudden Spike Loads with SQS', 'Decoupling Applications']
['Scaling Based on Queue Length', 'Decoupling Applications']
['Transforming Data with Lambda', 'Decoupling Applications']
['SQS Security Measures', 'Decoupling Applications']
['Message Visibility in SQS', 'Decoupling Applications']
['Message Group and Deduplication', 'Decoupling Applications']
['Subscribing to SNS Topics', 'Decoupling Applications']
['Scaling with Middleware Services', 'Decoupling Applications']
['FIFO Ordering with SNS and SQS', 'Decoupling Applications']
['FIFO Queue Throughput', 'Decoupling Applications']
['Data Flow in Kinesis Data Firehose', 'Decoupling Applications']
['Integration with AWS Services', 'Decoupling Applications']
['Comparison Between Kinesis and SQS FIFO', 'Decoupling Applications']
['Handling Message Duplication and Ordering', 'Decoupling Applications']
['Balancing Visibility Timeout', 'Decoupling Applications']
['Buffering and Near Real-Time Data Processing', 'Decoupling Applications']
['SQS as a Buffer for Database Writes', 'Decoupling Applications']
['Spot Instance Workloads Suitability', 'EC2 Basics']
['Selecting Compute Power and Memory', 'EC2 Basics']
['Instance Flexibility with Convertible Reserved Instances', 'EC2 Basics']
['Network Attached vs. Hardware Attached Storage', 'EC2 Basics']
['Max Spot Price vs. Current Spot Price', 'EC2 Basics']
['Handling Firewall Rules', 'EC2 Basics']
['Use Cases for Memory Optimized Instances', 'EC2 Basics']
['Use Cases for Compute Optimized Instances', 'EC2 Basics']
['Authorized IP Ranges', 'EC2 Basics']
['Instance Class, Generation, and Size', 'EC2 Basics']
['Inbound and Outbound Traffic Control', 'EC2 Basics']
['Security Group Rules', 'EC2 Basics']
['Spot Fleet Allocation Strategies', 'EC2 Basics']
['Choosing Operating Systems', 'EC2 Basics']
['Launch Pools in Spot Fleets', 'EC2 Basics']
['Capacity Reservation Purpose', 'EC2 Basics']
['Naming Convention for EC2 Instances', 'EC2 Basics']
['Terminating vs. Stopping Spot Instances', 'EC2 Basics']
['Configuring Network Settings', 'EC2 Basics']
['Short-Term vs. Long-Term Workloads', 'EC2 Basics']
['Use Cases for General Purpose Instances', 'EC2 Basics']
['Cost Efficiency with Spot Instances', 'EC2 Basics']
['EC2 Instance Connect for Browser-Based Access', 'EC2 Basics']
['Scaling Services with ASG', 'EC2 Basics']
['Port Numbers and Their Uses', 'EC2 Basics']
['Spot Block Duration', 'EC2 Basics']
['Referencing Security Groups', 'EC2 Basics']
['Spot Request Types', 'EC2 Basics']
['Persistent vs. One-Time Spot Requests', 'EC2 Basics']
['Pricing History for Spot Instances', 'EC2 Basics']
['Cost Optimization Strategies', 'EC2 Basics']
['Use Cases for Storage Optimized Instances', 'EC2 Basics']
['Differences in Resource Allocation', 'EC2 Basics']
['Savings Plan Flexibility', 'EC2 Basics']
['Bootstrapping with EC2 User Data', 'EC2 Basics']
['Physical Server Reservation with Dedicated Hosts', 'EC2 Basics']
['Capacity Reservation Without Time Commitment', 'EC2 Basics']
['Launch Templates vs. Manual Configuration', 'EC2 Basics']
['Different Methods for Different Operating Systems', 'EC2 Basics']
['Dedicated Host Licensing', 'EC2 Basics']
['Spot Fleet Functionality', 'EC2 Basics']
['Optimization Types for Different Use Cases', 'EC2 Basics']
['Canceling Spot Requests', 'EC2 Basics']
['Distributing Load Across Machines', 'EC2 Basics']
['Lambda in VPC', 'Serverless']
['Securing API Gateway', 'Serverless']
['Evolution of Serverless from FaaS', 'Serverless']
['Serverless Architecture', 'Serverless']
['API Gateway Features and Benefits', 'Serverless']
['Invoking Lambda from RDS and Aurora', 'Serverless']
['Integration of AWS Services in Serverless Applications', 'Serverless']
['Event-Driven Architecture', 'Serverless']
['Integrating DynamoDB with Other AWS Services', 'Serverless']
['Using API Gateway with AWS Services', 'Serverless']
['Pricing Model for Lambda', 'Serverless']
['On-Demand Execution', 'Serverless']
['Container Image Requirements', 'Serverless']
['Backup and Recovery Options', 'Serverless']
['Scaling and Management in Serverless Services', 'Serverless']
['Authentication and Authorization using Cognito', 'Serverless']
['Cost Management', 'Serverless']
['Language Support for Lambda', 'Serverless']
['Security and IAM Integration', 'Serverless']
['Stream Processing with DynamoDB Streams and Kinesis', 'Serverless']
['Performance and Consistency', 'Serverless']
['Data Replication and Disaster Recovery', 'Serverless']
['Real-time Data Processing', 'Serverless']
['TTL and Data Expiry Management', 'Serverless']
['Data Storage and Retrieval in Serverless Using DynamoDB', 'Serverless']
['Step function use cases', 'Serverless']
['Function and Purpose of API Gateway in Serverless', 'Serverless']
['Integrating Cognito User Pools with API Gateway', 'Serverless']
['API Gateway Deployment Types', 'Serverless']
['Integrating Lambda with API Gateway', 'Serverless']
['Capacity Planning', 'Serverless']
['Data Distribution and Replication', 'Serverless']
['Short Execution Times', 'Serverless']
['Real-time Streaming with API Gateway', 'Serverless']
['Cognito Identity Pools and AWS Services Access', 'Serverless']
['Schema Evolution', 'Serverless']
['Use Cases for Different Types of Storage Gateways', 'Snow Family']
['Transferring Large Data Sets Efficiently', 'Snow Family']
['File Systems for Windows with Amazon FSx', 'Snow Family']
['Scheduled Data Synchronization with AWS DataSync', 'Snow Family']
['Scheduled Replication Tasks', 'Snow Family']
['Object Storage with Amazon S3 and S3 Glacier', 'Snow Family']
['Differences Between FSx for Windows File Server, Lustre, NetApp ONTAP, and OpenZFS', 'Snow Family']
['Using DataSync with Different AWS Storage Services', 'Snow Family']
['Block Storage for EC2 Instances with EBS', 'Snow Family']
['Preserving File Permissions and Metadata', 'Snow Family']
['Scalable and Reliable Managed Service for File Transfers', 'Snow Family']
['Synchronizing Data Between On-Premises and AWS', 'Snow Family']
['Data Migration and Backup with Storage Gateway', 'Snow Family']
['Physical Data Transfer with Snowcone, Snowball, and Snowmobile', 'Snow Family']
['Compatibility with FSx NetApp ONTAP and FSx for OpenZFS', 'Snow Family']
['Snowball into Glacier with S3', 'Snow Family']
['Data Migration with Snow Family Devices', 'Snow Family']
['FTP, FTPS, and SFTP Interfaces with AWS Transfer Family', 'Snow Family']
['File System Deployment Options: Scratch vs. Persistent', 'Snow Family']
['Using OpsHub for Snow Family Devices', 'Snow Family']
['Pricing Model for AWS Transfer Family', 'Snow Family']
['Integration with Authentication Systems', 'Snow Family']
['Integration with AWS Services and On-Premises Systems', 'Snow Family']
['Edge Computing Capabilities', 'Snow Family']
['Secure File Transfers with FTPS and SFTP', 'Snow Family']
['Bridging On-Premises and Cloud Storage with Storage Gateway', 'Snow Family']
['Local Cache for Low-Latency Access', 'Snow Family']
['High-Performance Computing with FSx for Lustre', 'Snow Family']
['Data Migration and Edge Computing with Snow Family', 'Snow Family']
['Using FTP Protocols for Data Transfer to S3 or EFS', 'Snow Family']
['Storage Gateway Deployment Options', 'Snow Family']
['Physical Storage with EC2 Instance Storage', 'Snow Family']
['Launching Third-Party File Systems on AWS', 'Snow Family']
['Data Migration with AWS DataSync', 'Snow Family']
['Processing Data at Edge Locations', 'Snow Family']
['Network File Systems for Linux with Amazon EFS', 'Snow Family']
['Bridging On-Premises and Cloud Storage', 'Snow Family']
['Integration with Third-Party Data Sources', 'Data Analytics']
['Transforming Data Formats', 'Data Analytics']
['Data Transformation and Cleansing', 'Data Analytics']
['Ingesting Data into Redshift', 'Data Analytics']
['Snapshots and Disaster Recovery in Redshift', 'Data Analytics']
['Querying Data with Federated Query', 'Data Analytics']
['Using Redshift Spectrum for Querying S3 Data', 'Data Analytics']
['Data Ingestion Methods for OpenSearch', 'Data Analytics']
['User and Group Management in QuickSight', 'Data Analytics']
['Use cases for EMR', 'Data Analytics']
['Real-time Data Ingestion', 'Data Analytics']
['Data Warehousing with Redshift', 'Data Analytics']
['Redshift for Analytics and Data Warehousing', 'Data Analytics']
['Security in OpenSearch via Cognito and IAM', 'Data Analytics']
['Role of SPICE Engine in Data Computation', 'Data Analytics']
['Columnar Storage and Performance Improvement', 'Data Analytics']
['Combining Structured and Unstructured Data', 'Data Analytics']
['Real-time Data Processing with OpenSearch and Lambda', 'Data Analytics']
['Extract, Transform, Load Process', 'Data Analytics']
['Using SQL to Query Data in S3', 'Data Analytics']
['Comparing Redshift and Athena', 'Data Analytics']
['Data Visualization with QuickSight', 'Data Analytics']
['Serverless Querying with Athena', 'Data Analytics']
